Second,total_cpu_usage_usr,total_cpu_usage_sys,disk_read,disk_write,mem_used,mem_free,mem_buff,mem_cach
321,4.742,0.998,0,6012928,6705647616,11753127936,2892222464,41579290624
322,5.729,1.660,0,0,6751879168,11706519552,2892222464,41579298816
323,5.112,1.413,0,0,6783381504,11674984448,2892222464,41579298816
324,6.076,1.914,0,299008,6858342400,11600060416,2892222464,41579302912
325,4.292,1.500,0,20480,6901608448,11556851712,2892222464,41579302912
326,3.292,0.667,0,5484544,6930042880,11528409088,2892222464,41579319296
327,3.051,1.588,0,0,6960541696,11497910272,2892222464,41579319296
328,3.203,1.913,0,0,6992941056,11465547776,2892222464,41579331584
329,3.047,1.628,0,135168,7024558080,11433934848,2892222464,41579335680
330,3.173,1.211,0,0,7047749632,11410661376,2892222464,41579401216
331,3.090,1.420,0,8192,7066013696,11392393216,2892222464,41579405312
332,4.888,2.278,0,233472,6655086592,11803361280,2892222464,41579405312
333,4.871,1.707,0,0,6719762432,11738660864,2892222464,41579405312
334,5.873,1.696,0,12288,6765821952,11692343296,2892222464,41579409408
335,5.085,0.584,0,184320,6790873088,11667267584,2892222464,41579433984
336,4.873,1.541,0,32768,6670196736,11788001280,2892222464,41579433984
337,4.784,1.747,0,901120,6728564736,11729539072,2892222464,41579438080
338,5.123,1.458,0,0,6772994048,11684990976,2892222464,41579442176
339,5.173,1.752,0,364544,6636244992,11821568000,2892222464,41579442176
340,2.670,0.709,0,0,6618722304,11811868672,2892222464,41606660096
341,0.375,1.374,0,0,6618263552,11812352000,2892222464,41606660096
342,0.292,1.418,0,27901952,6619779072,11810836480,2892222464,41606660096
343,0.292,1.252,0,4096,6620217344,11810398208,2892222464,41606660096
344,0.209,1.251,0,434176,6621138944,11809476608,2892222464,41606660096
345,0.250,0.625,0,20480,6619906048,11810299904,2892222464,41606832128
346,0.250,1.334,0,0,6620520448,11809685504,2892222464,41606832128
347,0.333,1.333,0,0,6620139520,11810066432,2892222464,41606832128
348,0.334,1.334,0,0,6620196864,11809992704,2892222464,41606832128
349,0.292,0.626,0,0,6620377088,11809808384,2892222464,41606836224
350,1.994,1.703,0,192512,6607757312,11823316992,2892222464,41606807552
351,5.683,3.636,0,7925760,5984980992,12455473152,2892226560,41606942720
352,1.754,2.213,16384,1548288,5969887232,12473716736,2892226560,41606893568
353,0.375,1.542,0,0,5969543168,12474048512,2892226560,41606905856
354,0.250,0.417,0,0,5970178048,12473409536,2892226560,41606909952
355,0.208,1.125,0,20480,5969272832,12474306560,2892226560,41606918144
356,2.424,2.424,0,3112960,5872017408,12773511168,2892226560,41411096576
357,5.233,2.949,0,581632,5878870016,12768456704,2892226560,41410023424
358,8.575,5.549,0,35819520,6078464000,12568346624,2892234752,41410314240
359,11.831,3.554,0,4022272,6115454976,12510896128,2892247040,41424478208
360,20.450,3.957,0,54063104,6343438336,12266123264,2892247040,41439641600
361,21.434,3.814,0,7397376,6435700736,12199174144,2892247040,41412419584
362,36.965,4.906,0,51634176,6584205312,12002316288,2892247040,41456136192
363,47.203,5.305,16384,2215936,6802857984,11670519808,2892247040,41567215616
364,27.038,1.290,0,827392,6819512320,11649228800,2892247040,41571164160
365,4.205,1.624,4489216,23175168,6841155584,11619196928,2892247040,41579429888
366,4.542,1.542,0,126976,6679937024,11780145152,2892247040,41579446272
367,4.455,1.707,0,1269760,6735323136,11724738560,2892247040,41579454464
368,0.751,1.210,0,0,6740402176,11719344128,2892247040,41579589632
369,0.710,0.668,0,0,6719172608,11740405760,2892247040,41579757568
370,0.874,1.581,0,0,6721294336,11738054656,2892247040,41580077056
371,2.698,1.868,0,2277376,6660923392,11799109632,2892247040,41579302912
372,4.578,1.207,0,0,6668976128,11790688256,2892247040,41579524096
373,3.494,0.874,0,1257472,6718926848,11740643328,2892247040,41579528192
374,0.334,1.043,0,0,6721581056,11737948160,2892247040,41579552768
375,0.292,1.168,0,20480,6720937984,11738521600,2892247040,41579565056
376,0.499,1.332,0,0,6721114112,11738337280,2892247040,41579565056
